sleep,dump_line,open_key,load_dll,remove_directory,create_directory,get_computer_name,open_url,process,clazz,Id
6.0,2923.0,767.0,502.0,68.0,83.0,19.0,5.0,12.0,10,e2698d7b3d8cc9d1fb523a2cd62d9d637cba1b10c
0.0,0.0,33.0,81.0,0.0,0.0,0.0,0.0,2.0,8,0ae624058096c402a6219eff67ca0b611206cfa15
1.0,0.0,95.0,132.0,0.0,0.0,0.0,0.0,2.0,8,6a5e5994edc85def6fdb051b0Df836d4070afc231
47.0,0.0,6968.0,182.0,0.0,0.0,0.0,0.0,3.0,12,e23ccd01dea8e0afa0f533fb403c3d02464c7c0d9
1.0,0.0,95.0,132.0,0.0,0.0,0.0,0.0,2.0,8,87be1f63d2f7a529e6b8ebb539d8bc66cafe35f26
0.0,30.0,35.0,129.0,0.0,0.0,5.0,0.0,3.0,10,b58e4dbd87d8d140853097ad42b30753269c333de
2.0,0.0,95.0,132.0,0.0,0.0,0.0,0.0,2.0,8,2a8d3d005197e3e1ae5fe1b1856cf85654b163ba6
3.0,783.0,42.0,140.0,0.0,0.0,2.0,0.0,2.0,10,22fda5bcdaf5b69e4290fc7890e283b3a9eed965c
2.0,0.0,95.0,132.0,0.0,0.0,0.0,0.0,2.0,8,243c4be0240599c8f34d2efd7bab208060a7faea2
0.0,30.0,35.0,130.0,0.0,0.0,5.0,0.0,3.0,10,11c7eb9da5d1d001dae61e9f479b6a4c8f2434003
1.0,0.0,16.0,26.0,0.0,0.0,0.0,0.0,0.0,8,69736f227771b734085a30ac4393733fb79584c37
2.0,0.0,95.0,132.0,0.0,0.0,0.0,0.0,2.0,8,482f1f03602134ac03d34a6889d214e1f207f2ca6
0.0,30.0,35.0,123.0,0.0,0.0,5.0,0.0,3.0,10,db9923c31e13ed4c0f212de7e824468d3d84138c4
2.0,0.0,95.0,132.0,0.0,0.0,0.0,0.0,2.0,8,1f7bb4556c4c71c34bffddbb9cea3e51d20106514
2.0,0.0,95.0,132.0,0.0,0.0,0.0,0.0,2.0,8,87a76a46ad784822dce2dba7b663dcbe5d81e8e3d
0.0,0.0,13.0,25.0,0.0,0.0,0.0,0.0,0.0,12,9c5a089407dFf339ed380240117dfe6cebd9980b6
2.0,0.0,118.0,218.0,0.0,0.0,1.0,0.0,6.0,12,7d91cEbfc93ec9ea2231a2e9704ddb4f673e05d54
1.0,0.0,95.0,132.0,0.0,0.0,0.0,0.0,2.0,8,d78efe8e3c86a3429a3296a68141ce9581403a145
42.0,0.0,292.0,1063.0,0.0,0.0,0.0,0.0,36.0,12,93f9ee3Eea0d502871d096405b2cfcd55aa98570d
0.0,30.0,35.0,125.0,0.0,0.0,5.0,0.0,3.0,10,f04ec96a658366035555D2c3bd98f8d0de07513da
0.0,0.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,4,48780dbba658618fc4ecfc954c9eec8a838ba2021
0.0,0.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0,2e1f50aa552f265ad8fd8a3bcef4127ccf93e1a7e
2.0,0.0,95.0,132.0,0.0,0.0,0.0,0.0,2.0,8,dff121ae833cd802ab3cb6a0617f65f7b0d8db36f
1.0,0.0,95.0,132.0,0.0,0.0,0.0,0.0,2.0,8,06a6e32eb6ef6d3af3cf0b4fdf67aaacecb8b8880
57.0,25.0,510.0,98.0,0.0,0.0,5.0,0.0,2.0,10,ad73fa18eb353a966c43f9c6d726cc3b4bea07b0d
3.0,603.0,42.0,131.0,0.0,0.0,2.0,0.0,2.0,10,a2d3b96d0be8ab4d2b9390Cf601f086f7f8f05718
3.0,569.0,42.0,132.0,0.0,0.0,2.0,0.0,2.0,10,e8628F3e32b6876934e39cf9c655f257ebaebddc1
3.0,0.0,95.0,132.0,0.0,0.0,0.0,0.0,2.0,8,87615b39a8f43f2afc3b059ae6446a64bb6e9ef27
0.0,0.0,26.0,63.0,0.0,0.0,0.0,0.0,2.0,8,a6179ee42a912e6cddc6e9061aaf3f3d09708d884
